Date,New cases
2020-01-22,0
2020-01-23,99
2020-01-24,287
2020-01-25,493
2020-01-26,684
2020-01-27,809
2020-01-28,2651
2020-01-29,588
2020-01-30,2068
2020-01-31,1693
2020-02-01,2111
2020-02-02,4749
2020-02-03,3100
2020-02-04,4011
2020-02-05,3745
2020-02-06,3159
2020-02-07,3532
2020-02-08,2734
2020-02-09,3027
2020-02-10,2538
2020-02-11,2042
2020-02-12,1886
2020-02-13,13645
2020-02-14,6484
2020-02-15,2075
2020-02-16,2114
2020-02-17,1936
2020-02-18,1794
2020-02-19,421
2020-02-20,547
2020-02-21,629
2020-02-22,1761
2020-02-23,323
2020-02-24,564
2020-02-25,853
2020-02-26,963
2020-02-27,1364
2020-02-28,1377
2020-02-29,1895
2020-03-01,2384
2020-03-02,1974
2020-03-03,2577
2020-03-04,2299
2020-03-05,2791
2020-03-06,3943
2020-03-07,4038
2020-03-08,3954
2020-03-09,3900
2020-03-10,5024
2020-03-11,7663
2020-03-12,5750
2020-03-13,14405
2020-03-14,11106
2020-03-15,11146
2020-03-16,14659
2020-03-17,15838
2020-03-18,19586
2020-03-19,27918
2020-03-20,29608
2020-03-21,32306
2020-03-22,33410
2020-03-23,42165
2020-03-24,41154
2020-03-25,50817
2020-03-26,62960
2020-03-27,64400
2020-03-28,67657
2020-03-29,59577
2020-03-30,64639
2020-03-31,76416
2020-04-01,76214
2020-04-02,81399
2020-04-03,83155
2020-04-04,80463
2020-04-05,71718
2020-04-06,72672
2020-04-07,76873
2020-04-08,83775
2020-04-09,86625
2020-04-10,87658
2020-04-11,76965
2020-04-12,96802
2020-04-13,69594
2020-04-14,69927
2020-04-15,80829
2020-04-16,96712
2020-04-17,87724
2020-04-18,73958
2020-04-19,80523
2020-04-20,73339
2020-04-21,75250
2020-04-22,78994
2020-04-23,89013
2020-04-24,96974
2020-04-25,84932
2020-04-26,72948
2020-04-27,68704
2020-04-28,75404
2020-04-29,79558
2020-04-30,83681
2020-05-01,87046
2020-05-02,81853
2020-05-03,77636
2020-05-04,76078
2020-05-05,79989
2020-05-06,90022
2020-05-07,90669
2020-05-08,92997
2020-05-09,85846
2020-05-10,76255
2020-05-11,76298
2020-05-12,83619
2020-05-13,84917
2020-05-14,97106
2020-05-15,96349
2020-05-16,95412
2020-05-17,78509
2020-05-18,88284
2020-05-19,96633
2020-05-20,103028
2020-05-21,106438
2020-05-22,106900
2020-05-23,105289
2020-05-24,95326
2020-05-25,87335
2020-05-26,92742
2020-05-27,102600
2020-05-28,119314
2020-05-29,121167
2020-05-30,137833
2020-05-31,107552
2020-06-01,95195
2020-06-02,121577
2020-06-03,119389
2020-06-04,126937
2020-06-05,130863
2020-06-06,135942
2020-06-07,112259
2020-06-08,102225
2020-06-09,124342
2020-06-10,134025
2020-06-11,138114
2020-06-12,129094
2020-06-13,136010
2020-06-14,133421
2020-06-15,119638
2020-06-16,141403
2020-06-17,141853
2020-06-18,139928
2020-06-19,180954
2020-06-20,157552
2020-06-21,128539
2020-06-22,137858
2020-06-23,165338
2020-06-24,171183
2020-06-25,177887
2020-06-26,191346
2020-06-27,178110
2020-06-28,162349
2020-06-29,158572
2020-06-30,173898
2020-07-01,217689
2020-07-02,207705
2020-07-03,203495
2020-07-04,193567
2020-07-05,182695
2020-07-06,167343
2020-07-07,210844
2020-07-08,211802
2020-07-09,228227
2020-07-10,232577
2020-07-11,216328
2020-07-12,192668
2020-07-13,192779
2020-07-14,221452
2020-07-15,231122
2020-07-16,252544
2020-07-17,242038
2020-07-18,237635
2020-07-19,214647
2020-07-20,206778
2020-07-21,233565
2020-07-22,280647
2020-07-23,282756
2020-07-24,281164
2020-07-25,255545
2020-07-26,204606
2020-07-27,228693
